,PRODUCT,NOART,QTY,ENROUTE,MODE,AV3MT01,AV6MT01,POSPRO,Month,Sale,filename,LABO,Frequency,Product Type,Comments
43,BIPRETERAX 5MG/1.25MG TABS 30,86380,777,3500,2,535,546,0,2016-02-01 00:00:00,360,2016-02-24 00:00:00,139661,43,Anti-hypertensive,Available
44,BIPRETERAX 5MG/1.25MG TABS 30,86380,777,3500,2,535,546,0,2016-01-01 00:00:00,674,2016-02-24 00:00:00,139661,43,Anti-hypertensive,Available
45,BIPRETERAX 5MG/1.25MG TABS 30,86380,310,3500,2,499,507,0,2015-10-01 00:00:00,478,2016-03-29 00:00:00,139661,43,Anti-hypertensive,Available
46,BIPRETERAX 5MG/1.25MG TABS 30,86380,310,3500,2,499,507,0,2015-09-01 00:00:00,549,2016-03-29 00:00:00,139661,43,Anti-hypertensive,Available
47,BIPRETERAX 5MG/1.25MG TABS 30,86380,0,3450,7,453,494,0,2015-11-01 00:00:00,515,2016-05-26 00:00:00,139661,43,Anti-hypertensive,Available
48,BIPRETERAX 5MG/1.25MG TABS 30,86380,2695,350,7,381,440,0,2015-12-01 00:00:00,417,2016-06-27 00:00:00,139661,43,Anti-hypertensive,Available
49,BIPRETERAX 5MG/1.25MG TABS 30,86380,2754,480,7,363,445,0,2016-01-01 00:00:00,674,2016-07-26 00:00:00,139661,43,Anti-hypertensive,Available
50,BIPRETERAX 5MG/1.25MG TABS 30,86380,2245,500,7,340,396,0,2016-02-01 00:00:00,407,2016-08-29 00:00:00,139661,43,Anti-hypertensive,Available
51,BIPRETERAX 5MG/1.25MG TABS 30,86380,1630,500,7,543,462,0,2016-04-01 00:00:00,451,2016-09-27 00:00:00,139661,43,Anti-hypertensive,Available
52,BIPRETERAX 5MG/1.25MG TABS 30,86380,1630,500,7,543,462,0,2016-03-01 00:00:00,501,2016-09-27 00:00:00,139661,43,Anti-hypertensive,Available
53,BIPRETERAX 5MG/1.25MG TABS 30,86380,1544,1520,7,439,389,0,2016-05-01 00:00:00,192,2016-11-29 00:00:00,139661,43,Anti-hypertensive,Available
54,BIPRETERAX 5MG/1.25MG TABS 30,86380,1292,1920,7,263,403,0,2016-06-01 00:00:00,447,2016-12-28 00:00:00,139661,43,Anti-hypertensive,Available
55,BIPRETERAX 5MG/1.25MG TABS 30,86380,327,1500,2,514,481,0,2015-12-01 00:00:00,415,2016-12-29 00:00:00,139661,43,Anti-hypertensive,Available
56,BIPRETERAX 5MG/1.25MG TABS 30,86380,327,1500,2,514,481,0,2015-11-01 00:00:00,515,2016-12-29 00:00:00,139661,43,Anti-hypertensive,Available
57,BIPRETERAX 5MG/1.25MG TABS 30,86380,327,1500,2,514,481,0,2015-10-01 00:00:00,478,2016-12-29 00:00:00,139661,43,Anti-hypertensive,Available
58,BIPRETERAX 5MG/1.25MG TABS 30,86380,327,1500,2,514,481,0,2015-09-01 00:00:00,549,2016-12-29 00:00:00,139661,43,Anti-hypertensive,Available
59,BIPRETERAX 5MG/1.25MG TABS 30,86380,327,1500,2,514,481,0,2015-08-01 00:00:00,644,2016-12-29 00:00:00,139661,43,Anti-hypertensive,Available
60,BIPRETERAX 5MG/1.25MG TABS 30,86380,327,1500,2,514,481,0,2015-07-01 00:00:00,345,2016-12-29 00:00:00,139661,43,Anti-hypertensive,Available
61,BIPRETERAX 5MG/1.25MG TABS 30,86380,327,1500,2,514,481,0,2015-06-01 00:00:00,352,2016-12-29 00:00:00,139661,43,Anti-hypertensive,Available
62,BIPRETERAX 5MG/1.25MG TABS 30,86380,621,1920,7,235,391,0,2016-07-01 00:00:00,380,2017-01-30 00:00:00,139661,43,Anti-hypertensive,Available
63,BIPRETERAX 5MG/1.25MG TABS 30,86380,1235,1040,7,397,418,0,2016-09-01 00:00:00,333,2017-02-27 00:00:00,139661,43,Anti-hypertensive,Available
64,BIPRETERAX 5MG/1.25MG TABS 30,86380,1235,1040,7,397,418,0,2016-08-01 00:00:00,803,2017-02-27 00:00:00,139661,43,Anti-hypertensive,Available
65,BIPRETERAX 5MG/1.25MG TABS 30,86380,1232,1900,7,460,348,0,2016-10-01 00:00:00,180,2017-04-25 00:00:00,139661,43,Anti-hypertensive,Available
66,BIPRETERAX 5MG/1.25MG TABS 30,86380,1367,2500,7,310,354,0,2016-11-01 00:00:00,276,2017-05-31 00:00:00,139661,43,Anti-hypertensive,Available
67,BIPRETERAX 5MG/1.25MG TABS 30,86380,1172,2500,7,301,352,0,2016-12-01 00:00:00,250,2017-06-27 00:00:00,139661,43,Anti-hypertensive,Available
68,BIPRETERAX 5MG/1.25MG TABS 30,86380,2366,1240,7,223,341,0,2017-01-01 00:00:00,665,2017-07-27 00:00:00,139661,43,Anti-hypertensive,Available
69,BIPRETERAX 5MG/1.25MG TABS 30,86380,1807,1240,7,267,289,0,2017-02-01 00:00:00,293,2017-08-24 00:00:00,139661,43,Anti-hypertensive,Available
70,BIPRETERAX 5MG/1.25MG TABS 30,86380,2687,240,7,356,328,0,2017-03-01 00:00:00,421,2017-09-25 00:00:00,139661,43,Anti-hypertensive,Available
71,BIPRETERAX 5MG/1.25MG TABS 30,86380,2465,240,7,325,274,0,2017-04-01 00:00:00,216,2017-10-30 00:00:00,139661,43,Anti-hypertensive,Available
72,BIPRETERAX 5MG/1.25MG TABS 30,86380,2490,0,7,295,281,0,2017-05-01 00:00:00,265,2017-11-27 00:00:00,139661,43,Anti-hypertensive,Available
73,BIPRETERAX 5MG/1.25MG TABS 30,86380,2179,0,7,186,328,0,2017-06-01 00:00:00,187,2017-12-27 00:00:00,139661,43,Anti-hypertensive,Available
74,BIPRETERAX 5MG/1.25MG TABS 30,86380,1595,0,7,256,291,0,2017-07-01 00:00:00,349,2018-01-29 00:00:00,139661,43,Anti-hypertensive,Available
75,BIPRETERAX 5MG/1.25MG TABS 30,86380,1333,1040,7,359,327,0,2017-08-01 00:00:00,532,2018-02-27 00:00:00,139661,43,Anti-hypertensive,Available
76,BIPRETERAX 5MG/1.25MG TABS 30,86380,1090,2040,7,256,213,0,2017-09-01 00:00:00,95,2018-03-27 00:00:00,139661,43,Anti-hypertensive,Available
77,BIPRETERAX 5MG/1.25MG TABS 30,86380,789,2000,7,397,327,0,2017-10-01 00:00:00,259,2018-04-23 00:00:00,139661,43,Anti-hypertensive,Available
78,BIPRETERAX 5MG/1.25MG TABS 30,86380,1514,1640,7,296,327,0,2017-11-01 00:00:00,203,2018-05-24 00:00:00,139661,43,Anti-hypertensive,Available
79,BIPRETERAX 5MG/1.25MG TABS 30,86380,2291,640,7,305,340,0,2018-06-01 00:00:00,124,2018-06-25 00:00:00,139661,43,Anti-hypertensive,Available
80,BIPRETERAX 5MG/1.25MG TABS 30,86380,2291,640,7,305,340,0,2018-05-01 00:00:00,280,2018-06-25 00:00:00,139661,43,Anti-hypertensive,Available
81,BIPRETERAX 5MG/1.25MG TABS 30,86380,2291,640,7,305,340,0,2018-04-01 00:00:00,262,2018-06-25 00:00:00,139661,43,Anti-hypertensive,Available
82,BIPRETERAX 5MG/1.25MG TABS 30,86380,2291,640,7,305,340,0,2018-03-01 00:00:00,372,2018-06-25 00:00:00,139661,43,Anti-hypertensive,Available
83,BIPRETERAX 5MG/1.25MG TABS 30,86380,2291,640,7,305,340,0,2018-02-01 00:00:00,253,2018-06-25 00:00:00,139661,43,Anti-hypertensive,Available
84,BIPRETERAX 5MG/1.25MG TABS 30,86380,2291,640,7,305,340,0,2018-01-01 00:00:00,566,2018-06-25 00:00:00,139661,43,Anti-hypertensive,Available
85,BIPRETERAX 5MG/1.25MG TABS 30,86380,2291,640,7,305,340,0,2017-12-01 00:00:00,307,2018-06-25 00:00:00,139661,43,Anti-hypertensive,Available
86,COVERAM 10MG/10MG 30'S,74566,482,2500,2,349,378,0,2016-02-01 00:00:00,232,2016-02-24 00:00:00,139661,43,Anti-hypertensive,Available
87,COVERAM 10MG/10MG 30'S,74566,482,2500,2,349,378,0,2016-01-01 00:00:00,448,2016-02-24 00:00:00,139661,43,Anti-hypertensive,Available
88,COVERAM 10MG/10MG 30'S,74566,172,2500,2,324,351,0,2015-10-01 00:00:00,407,2016-03-29 00:00:00,139661,43,Anti-hypertensive,Available
89,COVERAM 10MG/10MG 30'S,74566,172,2500,2,324,351,0,2015-09-01 00:00:00,384,2016-03-29 00:00:00,139661,43,Anti-hypertensive,Available
90,COVERAM 10MG/10MG 30'S,74566,104,2300,7,291,320,0,2015-11-01 00:00:00,343,2016-05-26 00:00:00,139661,43,Anti-hypertensive,Available
91,COVERAM 10MG/10MG 30'S,74566,1858,350,7,304,314,0,2015-12-01 00:00:00,255,2016-06-27 00:00:00,139661,43,Anti-hypertensive,Available
92,COVERAM 10MG/10MG 30'S,74566,2044,320,7,262,307,0,2016-01-01 00:00:00,448,2016-07-26 00:00:00,139661,43,Anti-hypertensive,Available
93,COVERAM 10MG/10MG 30'S,74566,1829,350,7,229,260,0,2016-02-01 00:00:00,270,2016-08-29 00:00:00,139661,43,Anti-hypertensive,Available
94,COVERAM 10MG/10MG 30'S,74566,1619,350,7,200,252,0,2016-04-01 00:00:00,265,2016-09-27 00:00:00,139661,43,Anti-hypertensive,Available
95,COVERAM 10MG/10MG 30'S,74566,1619,350,7,200,252,0,2016-03-01 00:00:00,338,2016-09-27 00:00:00,139661,43,Anti-hypertensive,Available
96,COVERAM 10MG/10MG 30'S,74566,1468,0,7,235,232,0,2016-05-01 00:00:00,309,2016-11-29 00:00:00,139661,43,Anti-hypertensive,Available
97,COVERAM 10MG/10MG 30'S,74566,1199,160,7,228,214,0,2016-06-01 00:00:00,212,2016-12-28 00:00:00,139661,43,Anti-hypertensive,Available
98,COVERAM 10MG/10MG 30'S,74566,298,900,2,378,350,0,2015-12-01 00:00:00,231,2016-12-29 00:00:00,139661,43,Anti-hypertensive,Available
99,COVERAM 10MG/10MG 30'S,74566,298,900,2,378,350,0,2015-11-01 00:00:00,343,2016-12-29 00:00:00,139661,43,Anti-hypertensive,Available
100,COVERAM 10MG/10MG 30'S,74566,298,900,2,378,350,0,2015-10-01 00:00:00,407,2016-12-29 00:00:00,139661,43,Anti-hypertensive,Available
101,COVERAM 10MG/10MG 30'S,74566,298,900,2,378,350,0,2015-09-01 00:00:00,384,2016-12-29 00:00:00,139661,43,Anti-hypertensive,Available
102,COVERAM 10MG/10MG 30'S,74566,298,900,2,378,350,0,2015-08-01 00:00:00,432,2016-12-29 00:00:00,139661,43,Anti-hypertensive,Available
103,COVERAM 10MG/10MG 30'S,74566,298,900,2,378,350,0,2015-07-01 00:00:00,283,2016-12-29 00:00:00,139661,43,Anti-hypertensive,Available
